Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,lsa,Avg_Regional_Speed_Mbps,Subjective_Access_Score,Infrastructure_Efficiency
Kavya,Kerala University of Fisheries and Ocean Studies ,Law,4,Gemini,1.1,"Assignments, Coding Help",4,-1,No,ChatGPT,6,No,Kerala,Tablet,High,Kerala,6.3867464539007095,3,19.16023936170213
Aishwarya,"Purnea University, Purnahiya ",Law,3,Copilot,0.8,"Doubt Solving, Resume Writing",5,-3,Yes,Copilot,10,No,Bihar,Mobile,Poor,Bihar,29.503159466911764,1,29.503159466911764
Shreya,Shri Guru Ram Rai Institute of Medical ,Medical,1,"Gemini, Midjourney",1.4,Content Writing,2,1,No,Other,1,No,Uttarakhand,Laptop,Medium,UP West,8.9968359375,2,17.993671875
Nandini,Sardar Vallabhbhai National Institute of Technology ,Engineering,4,"ChatGPT, Copilot",0.7,"Exam Prep, Notes",4,2,Yes,Gemini,1,Yes,Gujarat,Laptop,Medium,Gujarat,12.089467075892857,2,24.178934151785715
Aarav,"NEF Law College, Guwahati ",Law,3,"ChatGPT, Copilot",2.9,Learning new topics,2,-2,No,ChatGPT,7,Yes,Assam,Mobile,Poor,Assam,10.154541015625,1,10.154541015625
Vivaan,Doon Post Graduate College of Agriculture Science ,Hotel-management,2,Copilot,3.1,"Assignments, Coding Help",2,-2,No,Gemini,10,Yes,Uttarakhand,Laptop,Medium,UP West,8.9968359375,2,17.993671875
Aditya,College of Veterinary and Animal Sciences ,Science,4,"ChatGPT, Gemini, Copilot",0.6,"MCQ Practice, Projects",5,1,No,Copilot,7,Yes,Rajasthan,Laptop,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Vihaan,"Singhania University, Jhunjhunu ",Management,2,"ChatGPT, Gemini, Copilot",2.7,Content Writing,1,2,No,Other,5,Yes,Rajasthan,Laptop,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Arjun,JECRC University ,Commerce,3,Gemini,4.1,Content Writing,3,-3,Yes,ChatGPT,4,Yes,Rajasthan,Laptop,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Sai,"RKDF University, Ranchi ",Law,4,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",2,-2,No,ChatGPT,3,Yes,Jharkhand,Tablet,High,Bihar,29.503159466911764,3,88.50947840073529
Reyansh,BFIT Group of Institutions ,Engineering,2,"ChatGPT, Copilot",1.0,Content Writing,5,-2,Yes,Gemini,6,Yes,Uttarakhand,Mobile,Poor,UP West,8.9968359375,1,8.9968359375
Ayaan,National Institute of Technology ,Science,2,"ChatGPT, Gemini, Copilot",1.9,"MCQ Practice, Projects",5,-3,No,ChatGPT,8,Yes,Jammu,Mobile,High,Jammu & Kashmir,12.3797607421875,3,37.1392822265625
Krishna,Dr. SNS Rajalakshmi College of Arts and ,Commerce,1,"Gemini, Midjourney",1.1,"MCQ Practice, Projects",1,1,Yes,Gemini,2,No,Tamil nadu,Laptop,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Ishaan,Ram Krishna Dwarika College ,Commerce,3,"ChatGPT, Copilot",1.2,"Doubt Solving, Resume Writing",1,0,No,Gemini,7,No,Bihar,Tablet,High,Bihar,29.503159466911764,3,88.50947840073529
Rudra,"INMANTEC Institutions, Ghaziabad ",Pharmacy,2,Copilot,0.8,"Doubt Solving, Resume Writing",1,-2,Yes,Copilot,9,No,Delhi ncr,Tablet,High,Delhi,15.297678629557291,3,45.893035888671875
Dhruv,"St.Joseph University, Dimapur ",Science,3,ChatGPT,3.9,"Exam Prep, Notes",2,1,Yes,Copilot,2,Yes,Nagaland,Mobile,Medium,North East,10.2730712890625,2,20.546142578125
Kabir,Oriental University ,Engineering,4,"ChatGPT, Gemini, Copilot",3.1,"Exam Prep, Notes",2,-1,Yes,ChatGPT,7,Yes,Madhya pradesh,Mobile,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Atharv,"The Global University, Itanagar ",Management,1,ChatGPT,2.5,"Exam Prep, Notes",5,1,Yes,ChatGPT,9,No,Arunachal pradesh,Mobile,Medium,North East,10.2730712890625,2,20.546142578125
Om,Narsee Monjee Institute of Management Studies ,Medical,2,ChatGPT,2.9,"Exam Prep, Notes",5,-1,No,Copilot,3,Yes,Maharashtra,Laptop,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Anaya,Model Institute of Engineering and Technology ,Commerce,3,Copilot,1.1,Content Writing,5,0,Yes,Other,9,Yes,Jammu,Tablet,Medium,Jammu & Kashmir,12.3797607421875,2,24.759521484375
Siya,Kerala University ,Law,1,Copilot,1.7,"MCQ Practice, Projects",5,-1,Yes,Gemini,5,No,Kerala,Mobile,High,Kerala,6.3867464539007095,3,19.16023936170213
Diya,International Institute of Information Technology ,Engineering,1,"ChatGPT, Copilot",0.7,"MCQ Practice, Projects",1,-1,No,Copilot,9,Yes,Karnataka,Tablet,High,Karnataka,22.449497767857142,3,67.34849330357143
Myra,Panjab University ,Pharmacy,3,Gemini,4.2,"Assignments, Coding Help",4,-3,No,Gemini,4,Yes,Haryana,Mobile,Poor,Haryana,15.027559106788333,1,15.027559106788333
Aadhya,"PDM University, Bahadurgarh, Bahadurgarh ",Law,2,Gemini,2.6,Learning new topics,2,-3,Yes,ChatGPT,3,No,Haryana,Laptop,Medium,Haryana,15.027559106788333,2,30.055118213576666
Riya,Dibrugarh Hanumanbux Surajmal Kanoi College ,Arts,4,Copilot,4.2,Learning new topics,2,-1,Yes,Gemini,6,Yes,Assam,Tablet,High,Assam,10.154541015625,3,30.463623046875
Pari,Government Engineering College ,Engineering,3,ChatGPT,2.9,"Exam Prep, Notes",2,-2,Yes,Other,6,Yes,Chhattisgarh,Laptop,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Anika,Indian Institute of Information Technology ,Engineering,3,"Gemini, Midjourney",2.2,"Assignments, Coding Help",4,-3,No,Gemini,10,No,Gujarat,Laptop,Poor,Gujarat,12.089467075892857,1,12.089467075892857
Ira,Institute of Agri Business Management ,Agriculture,3,Copilot,1.3,"Doubt Solving, Resume Writing",1,-3,No,ChatGPT,8,No,Rajasthan,Tablet,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Meera,"Institute of Law, Nirma University ",Law,1,Copilot,2.0,Learning new topics,2,-3,No,Other,5,No,Gujarat,Mobile,Poor,Gujarat,12.089467075892857,1,12.089467075892857
Saanvi,Institute of Medical Sciences and SUM Hospital ,Medical,2,ChatGPT,1.3,"Assignments, Coding Help",3,-3,Yes,ChatGPT,8,No,Orissa,Laptop,High,Orissa,10.206166294642857,3,30.618498883928574
Navya,"Amity University, Gwalior ",Pharmacy,2,ChatGPT,2.6,Learning new topics,3,-2,Yes,Gemini,8,Yes,Madhya pradesh,Laptop,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Aarohi,Jayoti Vidyapeeth Women's University ,Arts,1,"Gemini, Midjourney",3.8,"MCQ Practice, Projects",1,0,Yes,Copilot,1,Yes,Rajasthan,Mobile,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Prisha,"Institute of Hotel Management Shri Shakti- [IHM], ",Hotel-management,2,"Gemini, Midjourney",1.5,Learning new topics,4,3,No,ChatGPT,10,Yes,Telangana,Tablet,Medium,Andhra Pradesh,13.047758214613971,2,26.095516429227942
Ishita,Bidhan Chandra Krishi Viswavidyalaya ,Agriculture,2,Copilot,0.8,Content Writing,5,-1,Yes,Other,6,No,West bengal,Tablet,Medium,West Bengal,32.790161506116206,2,65.58032301223241
Rakhi,"Indira Gandhi Institute of Pharmaceutical Sciences, Bhubaneswar ",Pharmacy,1,"Gemini, Midjourney",3.3,"Exam Prep, Notes",5,1,No,Other,9,No,Orissa,Laptop,Medium,Orissa,10.206166294642857,2,20.412332589285715
Ramya,"JNTUA College of Engineering, Ananthapur ",Engineering,2,ChatGPT,3.1,"Assignments, Coding Help",5,1,Yes,Gemini,8,No,Andhra pradesh,Mobile,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Sneha,"Poddar Group of Institutions, Jaipur ",Science,4,Gemini,2.0,"MCQ Practice, Projects",2,-2,No,Other,10,No,Rajasthan,Tablet,Poor,Rajasthan,13.64073799070248,1,13.64073799070248
Divya,"St. Mira's College for Girls, Pune ",Commerce,4,"Gemini, Midjourney",4.1,Content Writing,5,-3,No,Copilot,9,Yes,Maharashtra,Laptop,High,Maharashtra,19.392515373995984,3,58.17754612198795
Neha,"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Agriculture,2,Copilot,2.9,"Exam Prep, Notes",3,-2,Yes,Gemini,1,Yes,Punjab,Laptop,Poor,Punjab,14.360778216019417,1,14.360778216019417
Pooja,"IIHMR University, Jaipur ",Arts,1,"ChatGPT, Gemini, Copilot",3.0,Learning new topics,2,-2,No,Copilot,9,Yes,Rajasthan,Laptop,Medium,Rajasthan,13.64073799070248,2,27.28147598140496
Kavya,Seth GS Medical College ,Medical,1,Copilot,4.3,"MCQ Practice, Projects",2,3,Yes,Gemini,5,No,Maharashtra,Laptop,High,Maharashtra,19.392515373995984,3,58.17754612198795
Aishwarya,"Faculty of Management Studies, Manav Rachna International ",Management,1,ChatGPT,3.8,Content Writing,3,2,No,Gemini,8,No,Haryana,Tablet,High,Haryana,15.027559106788333,3,45.082677320365
Shreya,DAV College ,Science,3,Gemini,3.7,Learning new topics,2,2,No,Other,8,Yes,Punjab,Mobile,High,Punjab,14.360778216019417,3,43.08233464805825
Nandini,Sri Ram Chandra Bhanja Medical College and ,Pharmacy,1,ChatGPT,2.3,Content Writing,3,0,No,Other,7,Yes,Orissa,Laptop,Medium,Orissa,10.206166294642857,2,20.412332589285715
Aarav,RP Inderaprastha Institute of Technology ,Hotel-management,2,Gemini,0.9,"Assignments, Coding Help",3,2,Yes,Copilot,5,No,Haryana,Mobile,Medium,Haryana,15.027559106788333,2,30.055118213576666
Vivaan,"University School of Business, Chandigarh University ",Arts,1,ChatGPT,4.2,"MCQ Practice, Projects",5,3,Yes,Copilot,1,No,Punjab,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Aditya,Jesus and Mary College ,Science,4,Copilot,1.2,"Exam Prep, Notes",2,-2,Yes,Gemini,9,Yes,Delhi ncr,Tablet,Poor,Delhi,15.297678629557291,1,15.297678629557291
Vihaan,Baba Balak Nath Post Graduate College ,Science,3,Copilot,1.3,"Doubt Solving, Resume Writing",5,3,Yes,Other,10,Yes,Himachal pradesh,Tablet,Medium,Himachal Pradesh,8.273878528225806,2,16.547757056451612
Arjun,"C. V. Raman Global University, Bhubaneswar ",Hotel-management,1,"ChatGPT, Gemini, Copilot",0.9,"Doubt Solving, Resume Writing",2,1,No,Copilot,6,No,Orissa,Mobile,High,Orissa,10.206166294642857,3,30.618498883928574
Sai,SunRise University ,Pharmacy,1,Gemini,3.1,Content Writing,1,3,Yes,Gemini,1,No,Delhi ncr,Mobile,High,Delhi,15.297678629557291,3,45.893035888671875
Reyansh,"Dr. Zakir Husain Institute, Patna ",Hotel-management,3,Gemini,2.1,Content Writing,1,-1,Yes,Other,5,No,Bihar,Mobile,Poor,Bihar,29.503159466911764,1,29.503159466911764
Ayaan,"Shree Damodar College of Commerce and Economics, Salcete ",Commerce,3,"ChatGPT, Gemini, Copilot",4.4,"Doubt Solving, Resume Writing",1,1,No,Gemini,2,No,Goa,Laptop,Medium,Maharashtra,19.392515373995984,2,38.78503074799197
Krishna,Royal Global University ,Law,2,Copilot,0.8,Content Writing,4,1,Yes,Gemini,6,Yes,Assam,Laptop,Medium,Assam,10.154541015625,2,20.30908203125
Ishaan,VIT University ,Arts,3,Gemini,3.9,"Doubt Solving, Resume Writing",4,-2,No,Other,1,Yes,Andhra pradesh,Mobile,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Rudra,Pt Bhagwat Dayal Sharma Post Graduate Institute ,Medical,3,Gemini,0.5,"MCQ Practice, Projects",1,-3,No,Copilot,1,No,Delhi ncr,Laptop,Medium,Delhi,15.297678629557291,2,30.595357259114582
Dhruv,All India Institute of Management Studies ,Medical,2,Gemini,4.5,"MCQ Practice, Projects",5,3,Yes,Other,9,Yes,Tamil nadu,Tablet,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Kabir,"Shobhit University, Meerut ",Pharmacy,4,"ChatGPT, Copilot",1.8,"Doubt Solving, Resume Writing",1,1,Yes,ChatGPT,7,Yes,Delhi ncr,Tablet,High,Delhi,15.297678629557291,3,45.893035888671875
Atharv,"KK College of Engineering and Management, Dhanbad ",Engineering,4,Copilot,1.4,"MCQ Practice, Projects",2,2,Yes,Other,10,Yes,Jharkhand,Mobile,High,Bihar,29.503159466911764,3,88.50947840073529
Om,"Amity University, Kolkata ",Hotel-management,1,Copilot,0.6,"Assignments, Coding Help",1,0,No,Other,10,Yes,West bengal,Laptop,Medium,West Bengal,32.790161506116206,2,65.58032301223241
Anaya,"EMEA College of Arts and Science Kondotty, ",Law,3,"ChatGPT, Copilot",4.3,"Exam Prep, Notes",4,-1,No,Copilot,3,Yes,Kerala,Laptop,Poor,Kerala,6.3867464539007095,1,6.3867464539007095
Siya,Government Degree College ,Arts,4,"ChatGPT, Gemini, Copilot",4.1,Learning new topics,4,3,Yes,Other,7,Yes,Jammu,Laptop,High,Jammu & Kashmir,12.3797607421875,3,37.1392822265625
Diya,Vaishali Institute of Business and Rural Management ,Management,3,Copilot,3.2,Learning new topics,4,1,Yes,Other,7,No,Bihar,Laptop,Poor,Bihar,29.503159466911764,1,29.503159466911764
Myra,"PG Government College for Girls, Chandigarh ",Commerce,3,"Gemini, Midjourney",2.9,"MCQ Practice, Projects",5,-2,No,ChatGPT,9,No,Chandigarh,Tablet,Poor,Punjab,14.360778216019417,1,14.360778216019417
Aadhya,Goswami Ganesh Dutt Sanatan Dharama College ,Law,4,Copilot,1.8,"Doubt Solving, Resume Writing",5,-2,Yes,ChatGPT,10,No,Chandigarh,Laptop,High,Punjab,14.360778216019417,3,43.08233464805825
Riya,Institute of Technology and Science ,Management,4,Copilot,1.2,"Exam Prep, Notes",1,-3,No,Other,3,Yes,Uttar pradesh,Mobile,Medium,UP West,8.9968359375,2,17.993671875
Pari,People's Institute of Management & Research ,Management,1,"Gemini, Midjourney",1.0,Learning new topics,3,-1,No,ChatGPT,8,No,Madhya pradesh,Tablet,Medium,Madhya Pradesh,8.966440054086538,2,17.932880108173077
Anika,"ICFAI University, West Tripura ",Medical,2,"ChatGPT, Copilot",3.5,"Doubt Solving, Resume Writing",2,0,No,Copilot,4,No,Tripura,Laptop,Medium,North East,10.2730712890625,2,20.546142578125
Ira,"Government Polytechnic College, Sopore ",Engineering,2,"Gemini, Midjourney",3.9,Learning new topics,3,-2,Yes,Copilot,9,Yes,Jammu,Laptop,High,Jammu & Kashmir,12.3797607421875,3,37.1392822265625
Meera,Cochin University of Science and Technology ,Agriculture,3,Gemini,2.9,Learning new topics,2,0,No,Other,8,No,Kerala,Laptop,Medium,Kerala,6.3867464539007095,2,12.773492907801419
Saanvi,Kalinga Institute of Industrial Technology ,Medical,3,"Gemini, Midjourney",1.5,"MCQ Practice, Projects",3,1,No,Gemini,8,No,Orissa,Mobile,High,Orissa,10.206166294642857,3,30.618498883928574
Navya,Himgiri Zee University ,Hotel-management,3,"ChatGPT, Gemini, Copilot",0.9,"MCQ Practice, Projects",2,-1,Yes,ChatGPT,10,No,Uttarakhand,Mobile,Poor,UP West,8.9968359375,1,8.9968359375
Aarohi,LJ Institute of Computer Application ,Science,2,"ChatGPT, Gemini, Copilot",1.7,Learning new topics,2,-2,Yes,Other,10,Yes,Gujarat,Tablet,Medium,Gujarat,12.089467075892857,2,24.178934151785715
Prisha,"Nirmalagiri College, Kannur ",Commerce,1,"ChatGPT, Copilot",3.7,"Doubt Solving, Resume Writing",4,1,No,Gemini,5,Yes,Kerala,Laptop,High,Kerala,6.3867464539007095,3,19.16023936170213
Ishita,Mahatma Jyoti Rao Phoole University ,Science,1,"ChatGPT, Copilot",0.8,"MCQ Practice, Projects",4,-1,No,ChatGPT,2,Yes,Rajasthan,Mobile,High,Rajasthan,13.64073799070248,3,40.92221397210744
Rakhi,Institute of Pharmacy ,Pharmacy,4,Copilot,3.1,"Exam Prep, Notes",5,2,Yes,ChatGPT,1,Yes,West bengal,Laptop,Medium,West Bengal,32.790161506116206,2,65.58032301223241
Ramya,LM College of Pharmacy ,Science,4,"Gemini, Midjourney",4.4,"Assignments, Coding Help",1,-1,Yes,ChatGPT,6,Yes,Gujarat,Tablet,Poor,Gujarat,12.089467075892857,1,12.089467075892857
Sneha,Central University of Jharkhand ,Management,2,"Gemini, Midjourney",1.2,Content Writing,4,-2,No,Gemini,3,No,Jharkhand,Laptop,High,Bihar,29.503159466911764,3,88.50947840073529
Divya,Acharya Narendra Dev College ,Commerce,4,ChatGPT,3.3,"MCQ Practice, Projects",4,2,Yes,Copilot,8,No,Delhi ncr,Mobile,Medium,Delhi,15.297678629557291,2,30.595357259114582
Neha,"Arya Post Graduate College, Panipat ",Law,4,"ChatGPT, Copilot",2.6,Content Writing,2,-3,No,Gemini,8,Yes,Haryana,Laptop,Medium,Haryana,15.027559106788333,2,30.055118213576666
Pooja,Amar Shaheed Baba Ajit Singh Jujhar Singh ,Pharmacy,4,"Gemini, Midjourney",2.2,Learning new topics,2,3,Yes,Other,1,Yes,Punjab,Laptop,Poor,Punjab,14.360778216019417,1,14.360778216019417
Kavya,"Umiya Arts and Commerce College for Girls, ",Arts,1,ChatGPT,0.8,"Exam Prep, Notes",1,0,No,Gemini,7,Yes,Gujarat,Mobile,Poor,Gujarat,12.089467075892857,1,12.089467075892857
Aishwarya,"Holy Cross College, Agartala ",Science,2,"ChatGPT, Copilot",0.6,"Assignments, Coding Help",2,3,No,Gemini,1,Yes,Tripura,Laptop,Medium,North East,10.2730712890625,2,20.546142578125
Shreya,Oriental University ,Agriculture,1,ChatGPT,3.3,Learning new topics,4,-3,Yes,ChatGPT,9,No,Madhya pradesh,Mobile,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Nandini,Nehru Academy of Law ,Law,1,Gemini,3.4,Learning new topics,2,0,No,Other,4,No,Kerala,Laptop,High,Kerala,6.3867464539007095,3,19.16023936170213
Aarav,GRD Institute of Management and Technology ,Hotel-management,4,ChatGPT,4.3,Learning new topics,5,-3,Yes,Gemini,7,Yes,Uttarakhand,Tablet,High,UP West,8.9968359375,3,26.9905078125
Vivaan,"Government Medical College / Rajindra Hospital-[GMCP], Patiala ",Medical,4,"ChatGPT, Copilot",0.8,Learning new topics,3,2,Yes,ChatGPT,5,No,Punjab,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Aditya,JP Institute of Hotel Management & Catering ,Hotel-management,4,Gemini,3.9,"Exam Prep, Notes",4,3,Yes,Gemini,2,Yes,Uttar pradesh,Mobile,Medium,UP West,8.9968359375,2,17.993671875
Vihaan,"Dhanamanjuri University, Imphal ",Science,3,Gemini,2.8,Learning new topics,4,2,Yes,Gemini,4,Yes,Manipur,Mobile,Medium,North East,10.2730712890625,2,20.546142578125
Arjun,"Durgapur Institute of Legal Studies, Bardhaman ",Law,3,Copilot,1.4,Content Writing,1,2,Yes,ChatGPT,9,No,West bengal,Laptop,Medium,West Bengal,32.790161506116206,2,65.58032301223241
